,Product Type,Stock Amount
0,融资租赁,6123.7872641961985
1,应收账款,5355.580590908201
2,CMBS,5105.1228625266995
3,住房抵押贷款,4717.6159266627
4,REITs,3914.8647667000005
5,个人汽车贷款,2143.6170193666003
6,其他,1627.4459113940002
7,信托受益权,1341.1318174795001
8,不良资产重组,560.0345708858
9,保理融资,552.192497422
10,小微贷款,526.275088177
11,个人消费贷款,461.6390168039
12,PPP,416.1801882000001
13,票据收益权,369.47252699999996
14,保单质押贷款,277.07975
15,小额贷款,262.4244054633
16,两融债权,115.0
17,企业贷款,104.2197
18,金融租赁,89.6893627037
19,住房公积金,84.9603492096
20,股票质押回购,52.803637393
21,委托贷款,4.90477116
22,BT项目回购,4.247148800000001
